Id,Name,Age,Salary,Gender,Department,Position,Joining Date,Email,Phone Number
1,Grace,25,50000,Male,HR,Manager,05-04-2018,email@example.com,Not Provided
2,David,35,65000,Female,Finance,Director,20-02-2020,user@domain.com,123-456-7890
3,Grace,35,50000,Male,Finance,Analyst,15-01-2020,Not Provided,Not Provided
4,Hannah,35,60000,Female,Sales,Director,15-01-2020,email@example.com,098-765-4321
5,Eve,34,50000,Female,IT,Manager,05-04-2018,name@company.org,Not Provided
6,Eve,50,55000,Male,Marketing,Manager,20-02-2020,Not Provided,555-555-5555
7,Grace,35,60167,Female,Finance,Manager,15-01-2020,name@company.org,098-765-4321
8,Jack,35,65000,Other,Marketing,Director,25-03-2019,user@domain.com,Not Provided
9,Charlie,35,50000,Male,Marketing,Clerk,12-01-2019,Not Provided,123-456-7890
10,Jack,40,65000,Other,Sales,Assistant,15-01-2020,name@company.org,123-456-7890
12,Alice,50,70000,Other,Sales,Clerk,25-03-2019,Not Provided,098-765-4321
13,Hannah,40,60000,Female,Marketing,Manager,15-01-2020,user@domain.com,123-456-7890
14,Eve,30,60167,Other,Finance,Assistant,20-02-2020,Not Provided,Not Provided
15,Grace,25,60000,Female,Finance,Clerk,12-01-2019,Not Provided,555-555-5555
16,Jack,40,60000,Other,IT,Clerk,15-01-2020,Not Provided,098-765-4321
18,David,25,70000,Male,Marketing,Analyst,12-01-2019,Not Provided,123-456-7890
20,Ivy,40,70000,Other,Marketing,Analyst,25-03-2019,user@domain.com,123-456-7890
21,Jack,50,55000,Female,HR,Assistant,25-03-2019,Not Provided,Not Provided
22,Grace,50,70000,Male,HR,Manager,12-01-2019,email@example.com,555-555-5555
23,Ivy,35,60000,Other,IT,Assistant,05-04-2018,user@domain.com,098-765-4321
24,Jack,25,70000,Male,Finance,Assistant,12-01-2019,email@example.com,Not Provided
25,Jack,25,70000,Female,Finance,Director,25-03-2019,user@domain.com,555-555-5555
27,Bob,25,65000,Male,IT,Director,25-03-2019,email@example.com,123-456-7890
28,Alice,35,65000,Female,Marketing,Analyst,20-02-2020,Not Provided,Not Provided
30,Bob,35,70000,Male,IT,Clerk,05-04-2018,Not Provided,123-456-7890
31,Hannah,35,70000,Other,Finance,Assistant,25-03-2019,Not Provided,Not Provided
32,Charlie,37,55000,Male,HR,Manager,12-01-2019,Not Provided,555-555-5555
34,Ivy,30,70000,Female,HR,Director,25-03-2019,user@domain.com,Not Provided
37,Frank,50,60606,Male,Marketing,Director,25-03-2019,Not Provided,123-456-7890
38,Eve,35,65000,Male,Finance,Clerk,05-04-2018,Not Provided,123-456-7890
39,Bob,40,55000,Female,Sales,Assistant,15-01-2020,Not Provided,098-765-4321
41,Hannah,50,55000,Male,HR,Director,05-04-2018,user@domain.com,Not Provided
42,Frank,25,61304,Female,IT,Clerk,25-03-2019,email@example.com,555-555-5555
43,Charlie,25,60000,Other,Finance,Analyst,20-02-2020,Not Provided,Not Provided
44,Bob,50,50000,Female,Finance,Assistant,25-03-2019,user@domain.com,Not Provided
45,Frank,50,60167,Female,Finance,Director,05-04-2018,user@domain.com,555-555-5555
46,Grace,35,70000,Female,IT,Manager,15-01-2020,Not Provided,123-456-7890
47,Eve,35,50000,Female,IT,Clerk,15-01-2020,email@example.com,098-765-4321
48,Alice,25,50000,Other,IT,Director,05-04-2018,user@domain.com,555-555-5555
51,Ivy,40,50000,Other,Finance,Manager,05-04-2018,name@company.org,123-456-7890
52,Frank,40,65000,Male,HR,Clerk,20-02-2020,name@company.org,098-765-4321
53,Alice,30,70000,Male,Sales,Clerk,15-01-2020,email@example.com,123-456-7890
54,Jack,50,70000,Male,Finance,Analyst,20-02-2020,email@example.com,098-765-4321
55,Charlie,39,50000,Other,Sales,Clerk,25-03-2019,name@company.org,Not Provided
57,Frank,35,60000,Male,Marketing,Director,12-01-2019,user@domain.com,123-456-7890
58,Frank,30,60606,Male,Marketing,Manager,15-01-2020,user@domain.com,098-765-4321
59,David,25,65000,Male,HR,Assistant,12-01-2019,Not Provided,555-555-5555
60,Ivy,25,55000,Female,Finance,Manager,12-01-2019,name@company.org,098-765-4321
61,David,40,65000,Other,Finance,Assistant,20-02-2020,Not Provided,Not Provided
62,Jack,35,50000,Other,HR,Director,20-02-2020,name@company.org,098-765-4321
63,Eve,30,60000,Female,HR,Director,15-01-2020,email@example.com,Not Provided
64,Charlie,25,70000,Male,Marketing,Manager,15-01-2020,Not Provided,098-765-4321
66,Eve,35,58611,Female,Sales,Director,15-01-2020,email@example.com,123-456-7890
68,Charlie,40,61304,Female,IT,Director,05-04-2018,email@example.com,555-555-5555
70,Grace,25,65000,Male,IT,Assistant,20-02-2020,name@company.org,Not Provided
71,Eve,40,58611,Other,Sales,Manager,20-02-2020,name@company.org,123-456-7890
72,Bob,35,50000,Female,Marketing,Analyst,20-02-2020,Not Provided,Not Provided
73,Ivy,25,60000,Male,IT,Manager,20-02-2020,Not Provided,098-765-4321
74,Hannah,30,65000,Male,Marketing,Assistant,20-02-2020,user@domain.com,555-555-5555
76,Grace,30,60000,Female,Marketing,Clerk,20-02-2020,name@company.org,123-456-7890
77,Bob,37,55000,Male,HR,Analyst,12-01-2019,user@domain.com,123-456-7890
78,Hannah,30,60000,Male,Marketing,Assistant,05-04-2018,name@company.org,098-765-4321
82,Eve,50,65000,Other,IT,Manager,25-03-2019,name@company.org,098-765-4321
83,Ivy,40,70000,Female,HR,Assistant,05-04-2018,email@example.com,Not Provided
84,Ivy,50,70000,Male,Sales,Director,15-01-2020,Not Provided,555-555-5555
85,Bob,30,50000,Female,Finance,Director,12-01-2019,name@company.org,098-765-4321
86,Eve,25,65000,Male,HR,Assistant,25-03-2019,email@example.com,555-555-5555
